waypoints
x, y
909.48, 1128.67
909.48, 1128.67
909.48, 1128.67
909.48, 1128.67
909.48, 1128.67
909.481, 1128.67
909.481, 1128.67
909.482, 1128.67
909.483, 1128.67
909.483, 1128.67
909.485, 1128.67
909.486, 1128.67
909.487, 1128.67
909.489, 1128.67
909.49, 1128.67
909.492, 1128.67
909.494, 1128.67
909.496, 1128.67
909.499, 1128.67
909.501, 1128.67
909.503, 1128.67
909.506, 1128.67
909.509, 1128.67
909.511, 1128.67
909.514, 1128.67
909.517, 1128.67
909.52, 1128.67
909.523, 1128.67
909.526, 1128.67
909.529, 1128.67
909.532, 1128.67
909.535, 1128.67
909.538, 1128.67
909.541, 1128.67
909.544, 1128.67
909.547, 1128.67
909.55, 1128.67
909.553, 1128.67
909.555, 1128.67
909.558, 1128.67
909.56, 1128.67
909.563, 1128.67
909.565, 1128.67
909.567, 1128.67
909.57, 1128.67
909.572, 1128.67
909.574, 1128.67
909.576, 1128.67
909.578, 1128.67

waypoints
x, y
909.48, 1128.67
909.481, 1128.67
909.481, 1128.67
909.482, 1128.67
909.483, 1128.67
909.484, 1128.67
909.485, 1128.67
909.486, 1128.67
909.487, 1128.67
909.489, 1128.67
909.49, 1128.67
909.492, 1128.67
909.494, 1128.67
909.496, 1128.67
909.499, 1128.67
909.501, 1128.67
909.503, 1128.67
909.506, 1128.67
909.509, 1128.67
909.511, 1128.67
909.514, 1128.67
909.517, 1128.67
909.52, 1128.67
909.523, 1128.67
909.526, 1128.67
909.529, 1128.67
909.532, 1128.67
909.535, 1128.67
909.538, 1128.67
909.541, 1128.67
909.544, 1128.67
909.547, 1128.67
909.55, 1128.67
909.553, 1128.67
909.555, 1128.67
909.558, 1128.67
909.56, 1128.67
909.563, 1128.67
909.565, 1128.67
909.567, 1128.67
909.57, 1128.67
909.572, 1128.67
909.574, 1128.67
909.576, 1128.67
909.578, 1128.67
909.578, 1128.67
909.579, 1128.67
909.579, 1128.67
909.579, 1128.67
909.58, 1128.67
909.581, 1128.67
909.582, 1128.67
909.584, 1128.67
909.585, 1128.67
909.587, 1128.67
909.589, 1128.67
909.592, 1128.67
909.595, 1128.67
909.598, 1128.67
909.601, 1128.67
909.605, 1128.67
909.609, 1128.67
909.613, 1128.67
909.618, 1128.67
909.622, 1128.67
909.627, 1128.67
909.632, 1128.67
909.638, 1128.67
909.643, 1128.67
909.649, 1128.67
909.654, 1128.67
909.66, 1128.67
909.666, 1128.67
909.672, 1128.67
909.678, 1128.67
909.684, 1128.67
909.69, 1128.67
909.696, 1128.67
909.701, 1128.67
909.707, 1128.67
909.713, 1128.67
909.718, 1128.67
909.724, 1128.67
909.729, 1128.67
909.734, 1128.67
909.739, 1128.67
909.744, 1128.67
909.749, 1128.67
909.753, 1128.67
909.758, 1128.67
909.762, 1128.67
909.766, 1128.67
909.77, 1128.67
909.774, 1128.67

waypoints
x, y
909.481, 1128.67
909.482, 1128.67
909.483, 1128.67
909.484, 1128.67
909.485, 1128.67
909.486, 1128.67
909.487, 1128.67
909.489, 1128.67
909.49, 1128.67
909.492, 1128.67
909.494, 1128.67
909.496, 1128.67
909.499, 1128.67
909.501, 1128.67
909.503, 1128.67
909.506, 1128.67
909.509, 1128.67
909.511, 1128.67
909.514, 1128.67
909.517, 1128.67
909.52, 1128.67
909.523, 1128.67
909.526, 1128.67
909.529, 1128.67
909.532, 1128.67
909.535, 1128.67
909.538, 1128.67
909.541, 1128.67
909.544, 1128.67
909.547, 1128.67
909.55, 1128.67
909.553, 1128.67
909.555, 1128.67
909.558, 1128.67
909.56, 1128.67
909.563, 1128.67
909.565, 1128.67
909.567, 1128.67
909.57, 1128.67
909.572, 1128.67
909.574, 1128.67
909.576, 1128.67
909.578, 1128.67
909.578, 1128.67
909.579, 1128.67
909.579, 1128.67
909.58, 1128.67
909.58, 1128.67
909.581, 1128.67
909.582, 1128.67
909.584, 1128.67
909.585, 1128.67
909.587, 1128.67
909.589, 1128.67
909.592, 1128.67
909.595, 1128.67
909.598, 1128.67
909.601, 1128.67
909.605, 1128.67
909.609, 1128.67
909.613, 1128.67
909.618, 1128.67
909.622, 1128.67
909.627, 1128.67
909.632, 1128.67
909.638, 1128.67
909.643, 1128.67
909.649, 1128.67
909.654, 1128.67
909.66, 1128.67
909.666, 1128.67
909.672, 1128.67
909.678, 1128.67
909.684, 1128.67
909.69, 1128.67
909.696, 1128.67
909.701, 1128.67
909.707, 1128.67
909.713, 1128.67
909.718, 1128.67
909.724, 1128.67
909.729, 1128.67
909.734, 1128.67
909.739, 1128.67
909.744, 1128.67
909.749, 1128.67
909.753, 1128.67
909.758, 1128.67
909.762, 1128.67
909.766, 1128.67
909.77, 1128.67
909.774, 1128.67

waypoints
x, y
909.485, 1128.67
909.486, 1128.67
909.487, 1128.67
909.489, 1128.67
909.49, 1128.67
909.492, 1128.67
909.494, 1128.67
909.496, 1128.67
909.499, 1128.67
909.501, 1128.67
909.503, 1128.67
909.506, 1128.67
909.509, 1128.67
909.511, 1128.67
909.514, 1128.67
909.517, 1128.67
909.52, 1128.67
909.523, 1128.67
909.526, 1128.67
909.529, 1128.67
909.532, 1128.67
909.535, 1128.67
909.538, 1128.67
909.541, 1128.67
909.544, 1128.67
909.547, 1128.67
909.55, 1128.67
909.553, 1128.67
909.555, 1128.67
909.558, 1128.67
909.56, 1128.67
909.563, 1128.67
909.565, 1128.67
909.567, 1128.67
909.57, 1128.67
909.572, 1128.67
909.574, 1128.67
909.576, 1128.67
909.578, 1128.67
909.578, 1128.67
909.579, 1128.67
909.579, 1128.67
909.58, 1128.67
909.58, 1128.67
909.581, 1128.67
909.582, 1128.67
909.584, 1128.67
909.585, 1128.67
909.587, 1128.67
909.589, 1128.67
909.592, 1128.67
909.595, 1128.67
909.598, 1128.67
909.601, 1128.67
909.605, 1128.67
909.609, 1128.67
909.613, 1128.67
909.618, 1128.67
909.622, 1128.67
909.627, 1128.67
909.632, 1128.67
909.638, 1128.67
909.643, 1128.67
909.649, 1128.67
909.654, 1128.67
909.66, 1128.67
909.666, 1128.67
909.672, 1128.67
909.678, 1128.67
909.684, 1128.67
909.69, 1128.67
909.696, 1128.67
909.701, 1128.67
909.707, 1128.67
909.713, 1128.67
909.718, 1128.67
909.724, 1128.67
909.729, 1128.67
909.734, 1128.67
909.739, 1128.67
909.744, 1128.67
909.749, 1128.67
909.753, 1128.67
909.758, 1128.67
909.762, 1128.67
909.766, 1128.67
909.77, 1128.67
909.774, 1128.67

waypoints
x, y
909.523, 1128.67
909.526, 1128.67
909.529, 1128.67
909.532, 1128.67
909.535, 1128.67
909.538, 1128.67
909.541, 1128.67
909.544, 1128.67
909.547, 1128.67
909.55, 1128.67
909.553, 1128.67
909.555, 1128.67
909.558, 1128.67
909.56, 1128.67
909.563, 1128.67
909.565, 1128.67
909.567, 1128.67
909.57, 1128.67
909.572, 1128.67
909.574, 1128.67
909.576, 1128.67
909.578, 1128.67
909.578, 1128.67
909.579, 1128.67
909.579, 1128.67
909.58, 1128.67
909.58, 1128.67
909.581, 1128.67
909.582, 1128.67
909.584, 1128.67
909.585, 1128.67
909.587, 1128.67
909.589, 1128.67
909.592, 1128.67
909.595, 1128.67
909.598, 1128.67
909.601, 1128.67
909.605, 1128.67
909.609, 1128.67
909.613, 1128.67
909.618, 1128.67
909.622, 1128.67
909.627, 1128.67
909.632, 1128.67
909.638, 1128.67
909.643, 1128.67
909.649, 1128.67
909.654, 1128.67
909.66, 1128.67
909.666, 1128.67
909.672, 1128.67
909.678, 1128.67
909.684, 1128.67
909.69, 1128.67
909.696, 1128.67
909.701, 1128.67
909.707, 1128.67
909.713, 1128.67
909.718, 1128.67
909.724, 1128.67
909.729, 1128.67
909.734, 1128.67
909.739, 1128.67
909.744, 1128.67
909.749, 1128.67
909.753, 1128.67
909.758, 1128.67
909.762, 1128.67
909.766, 1128.67
909.77, 1128.67
909.774, 1128.67

waypoints
x, y
909.535, 1128.67
909.538, 1128.67
909.541, 1128.67
909.544, 1128.67
909.547, 1128.67
909.55, 1128.67
909.553, 1128.67
909.555, 1128.67
909.558, 1128.67
909.56, 1128.67
909.563, 1128.67
909.565, 1128.67
909.567, 1128.67
909.57, 1128.67
909.572, 1128.67
909.574, 1128.67
909.576, 1128.67
909.578, 1128.67
909.578, 1128.67
909.579, 1128.67
909.579, 1128.67
909.58, 1128.67
909.58, 1128.67
909.581, 1128.67
909.582, 1128.67
909.584, 1128.67
909.585, 1128.67
909.587, 1128.67
909.589, 1128.67
909.592, 1128.67
909.595, 1128.67
909.598, 1128.67
909.601, 1128.67
909.605, 1128.67
909.609, 1128.67
909.613, 1128.67
909.618, 1128.67
909.622, 1128.67
909.627, 1128.67
909.632, 1128.67
909.638, 1128.67
909.643, 1128.67
909.649, 1128.67
909.654, 1128.67
909.66, 1128.67
909.666, 1128.67
909.672, 1128.67
909.678, 1128.67
909.684, 1128.67
909.69, 1128.67
909.696, 1128.67
909.701, 1128.67
909.707, 1128.67
909.713, 1128.67
909.718, 1128.67
909.724, 1128.67
909.729, 1128.67
909.734, 1128.67
909.739, 1128.67
909.744, 1128.67
909.749, 1128.67
909.753, 1128.67
909.758, 1128.67
909.762, 1128.67
909.766, 1128.67
909.77, 1128.67
909.774, 1128.67

waypoints
x, y
909.547, 1128.67
909.55, 1128.67
909.553, 1128.67
909.555, 1128.67
909.558, 1128.67
909.56, 1128.67
909.563, 1128.67
909.565, 1128.67
909.567, 1128.67
909.57, 1128.67
909.572, 1128.67
909.574, 1128.67
909.576, 1128.67
909.578, 1128.67
909.578, 1128.67
909.579, 1128.67
909.579, 1128.67
909.58, 1128.67
909.58, 1128.67
909.581, 1128.67
909.582, 1128.67
909.584, 1128.67
909.585, 1128.67
909.587, 1128.67
909.589, 1128.67
909.592, 1128.67
909.595, 1128.67
909.598, 1128.67
909.601, 1128.67
909.605, 1128.67
909.609, 1128.67
909.613, 1128.67
909.618, 1128.67
909.622, 1128.67
909.627, 1128.67
909.632, 1128.67
909.638, 1128.67
909.643, 1128.67
909.649, 1128.67
909.654, 1128.67
909.66, 1128.67
909.666, 1128.67
909.672, 1128.67
909.678, 1128.67
909.684, 1128.67
909.69, 1128.67
909.696, 1128.67
909.701, 1128.67
909.707, 1128.67
909.713, 1128.67
909.718, 1128.67
909.724, 1128.67
909.729, 1128.67
909.734, 1128.67
909.739, 1128.67
909.744, 1128.67
909.749, 1128.67
909.753, 1128.67
909.758, 1128.67
909.762, 1128.67
909.766, 1128.67
909.77, 1128.67
909.774, 1128.67

waypoints
x, y
909.558, 1128.67
909.56, 1128.67
909.563, 1128.67
909.565, 1128.67
909.567, 1128.67
909.57, 1128.67
909.572, 1128.67
909.574, 1128.67
909.576, 1128.67
909.578, 1128.67
909.578, 1128.67
909.579, 1128.67
909.579, 1128.67
909.58, 1128.67
909.58, 1128.67
909.581, 1128.67
909.582, 1128.67
909.584, 1128.67
909.585, 1128.67
909.587, 1128.67
909.589, 1128.67
909.592, 1128.67
909.595, 1128.67
909.598, 1128.67
909.601, 1128.67
909.605, 1128.67
909.609, 1128.67
909.613, 1128.67
909.618, 1128.67
909.622, 1128.67
909.627, 1128.67
909.632, 1128.67
909.638, 1128.67
909.643, 1128.67
909.649, 1128.67
909.654, 1128.67
909.66, 1128.67
909.666, 1128.67
909.672, 1128.67
909.678, 1128.67
909.684, 1128.67
909.69, 1128.67
909.696, 1128.67
909.701, 1128.67
909.707, 1128.67
909.713, 1128.67
909.718, 1128.67
909.724, 1128.67
909.729, 1128.67
909.734, 1128.67
909.739, 1128.67
909.744, 1128.67
909.749, 1128.67
909.753, 1128.67
909.758, 1128.67
909.762, 1128.67
909.766, 1128.67
909.77, 1128.67
909.774, 1128.67

waypoints
x, y
909.567, 1128.67
909.57, 1128.67
909.572, 1128.67
909.574, 1128.67
909.576, 1128.67
909.578, 1128.67
909.578, 1128.67
909.579, 1128.67
909.579, 1128.67
909.58, 1128.67
909.58, 1128.67
909.581, 1128.67
909.582, 1128.67
909.584, 1128.67
909.585, 1128.67
909.587, 1128.67
909.589, 1128.67
909.592, 1128.67
909.595, 1128.67
909.598, 1128.67
909.601, 1128.67
909.605, 1128.67
909.609, 1128.67
909.613, 1128.67
909.618, 1128.67
909.622, 1128.67
909.627, 1128.67
909.632, 1128.67
909.638, 1128.67
909.643, 1128.67
909.649, 1128.67
909.654, 1128.67
909.66, 1128.67
909.666, 1128.67
909.672, 1128.67
909.678, 1128.67
909.684, 1128.67
909.69, 1128.67
909.696, 1128.67
909.701, 1128.67
909.707, 1128.67
909.713, 1128.67
909.718, 1128.67
909.724, 1128.67
909.729, 1128.67
909.734, 1128.67
909.739, 1128.67
909.744, 1128.67
909.749, 1128.67
909.753, 1128.67
909.758, 1128.67
909.762, 1128.67
909.766, 1128.67
909.77, 1128.67
909.774, 1128.67

waypoints
x, y
909.576, 1128.67
909.578, 1128.67
909.578, 1128.67
909.579, 1128.67
909.579, 1128.67
909.58, 1128.67
909.58, 1128.67
909.581, 1128.67
909.582, 1128.67
909.584, 1128.67
909.585, 1128.67
909.587, 1128.67
909.589, 1128.67
909.592, 1128.67
909.595, 1128.67
909.598, 1128.67
909.601, 1128.67
909.605, 1128.67
909.609, 1128.67
909.613, 1128.67
909.618, 1128.67
909.622, 1128.67
909.627, 1128.67
909.632, 1128.67
909.638, 1128.67
909.643, 1128.67
909.649, 1128.67
909.654, 1128.67
909.66, 1128.67
909.666, 1128.67
909.672, 1128.67
909.678, 1128.67
909.684, 1128.67
909.69, 1128.67
909.696, 1128.67
909.701, 1128.67
909.707, 1128.67
909.713, 1128.67
909.718, 1128.67
909.724, 1128.67
909.729, 1128.67
909.734, 1128.67
909.739, 1128.67
909.744, 1128.67
909.749, 1128.67
909.753, 1128.67
909.758, 1128.67
909.762, 1128.67
909.766, 1128.67
909.77, 1128.67
909.774, 1128.67

waypoints
x, y
909.579, 1128.67
909.58, 1128.67
909.58, 1128.67
909.581, 1128.67
909.582, 1128.67
909.584, 1128.67
909.585, 1128.67
909.587, 1128.67
909.589, 1128.67
909.592, 1128.67
909.595, 1128.67
909.598, 1128.67
909.601, 1128.67
909.605, 1128.67
909.609, 1128.67
909.613, 1128.67
909.618, 1128.67
909.622, 1128.67
909.627, 1128.67
909.632, 1128.67
909.638, 1128.67
909.643, 1128.67
909.649, 1128.67
909.654, 1128.67
909.66, 1128.67
909.666, 1128.67
909.672, 1128.67
909.678, 1128.67
909.684, 1128.67
909.69, 1128.67
909.696, 1128.67
909.701, 1128.67
909.707, 1128.67
909.713, 1128.67
909.718, 1128.67
909.724, 1128.67
909.729, 1128.67
909.734, 1128.67
909.739, 1128.67
909.744, 1128.67
909.749, 1128.67
909.753, 1128.67
909.758, 1128.67
909.762, 1128.67
909.766, 1128.67
909.77, 1128.67
909.774, 1128.67
909.775, 1128.67
909.775, 1128.67
909.777, 1128.67
909.779, 1128.67
909.782, 1128.67
909.786, 1128.67
909.792, 1128.67
909.799, 1128.67
909.807, 1128.67
909.817, 1128.67
909.829, 1128.67
909.843, 1128.67
909.858, 1128.67
909.875, 1128.67
909.893, 1128.67
909.914, 1128.67
909.935, 1128.67
909.959, 1128.67
909.983, 1128.67
910.009, 1128.68
910.037, 1128.68
910.065, 1128.68
910.095, 1128.68
910.125, 1128.68
910.156, 1128.68
910.188, 1128.68
910.22, 1128.68
910.253, 1128.68
910.286, 1128.68
910.319, 1128.68
910.352, 1128.68
910.385, 1128.68
910.418, 1128.68
910.45, 1128.68
910.482, 1128.68
910.513, 1128.68
910.544, 1128.68
910.574, 1128.68
910.603, 1128.68
910.632, 1128.68
910.659, 1128.68
910.686, 1128.68
910.712, 1128.68
910.737, 1128.68
910.762, 1128.68
910.785, 1128.68
910.809, 1128.68
910.831, 1128.68
910.853, 1128.68

waypoints
x, y
909.581, 1128.67
909.582, 1128.67
909.584, 1128.67
909.585, 1128.67
909.587, 1128.67
909.589, 1128.67
909.592, 1128.67
909.595, 1128.67
909.598, 1128.67
909.601, 1128.67
909.605, 1128.67
909.609, 1128.67
909.613, 1128.67
909.618, 1128.67
909.622, 1128.67
909.627, 1128.67
909.632, 1128.67
909.638, 1128.67
909.643, 1128.67
909.649, 1128.67
909.654, 1128.67
909.66, 1128.67
909.666, 1128.67
909.672, 1128.67
909.678, 1128.67
909.684, 1128.67
909.69, 1128.67
909.696, 1128.67
909.701, 1128.67
909.707, 1128.67
909.713, 1128.67
909.718, 1128.67
909.724, 1128.67
909.729, 1128.67
909.734, 1128.67
909.739, 1128.67
909.744, 1128.67
909.749, 1128.67
909.753, 1128.67
909.758, 1128.67
909.762, 1128.67
909.766, 1128.67
909.77, 1128.67
909.774, 1128.67
909.774, 1128.67
909.775, 1128.67
909.777, 1128.67
909.779, 1128.67
909.782, 1128.67
909.786, 1128.67
909.792, 1128.67
909.799, 1128.67
909.807, 1128.67
909.817, 1128.67
909.829, 1128.67
909.843, 1128.67
909.858, 1128.67
909.875, 1128.67
909.893, 1128.67
909.913, 1128.67
909.935, 1128.67
909.959, 1128.67
909.983, 1128.67
910.009, 1128.67
910.037, 1128.67
910.065, 1128.68
910.095, 1128.68
910.125, 1128.68
910.156, 1128.68
910.188, 1128.68
910.22, 1128.68
910.253, 1128.68
910.286, 1128.68
910.319, 1128.68
910.352, 1128.68
910.385, 1128.68
910.418, 1128.68
910.45, 1128.68
910.482, 1128.68
910.513, 1128.68
910.544, 1128.68
910.574, 1128.68
910.603, 1128.68
910.632, 1128.68
910.659, 1128.68
910.686, 1128.68
910.712, 1128.68
910.737, 1128.68
910.762, 1128.68
910.785, 1128.68
910.809, 1128.68
910.831, 1128.68
910.854, 1128.68

waypoints
x, y
909.587, 1128.67
909.589, 1128.67
909.592, 1128.67
909.595, 1128.67
909.598, 1128.67
909.601, 1128.67
909.605, 1128.67
909.609, 1128.67
909.613, 1128.67
909.618, 1128.67
909.622, 1128.67
909.627, 1128.67
909.632, 1128.67
909.638, 1128.67
909.643, 1128.67
909.649, 1128.67
909.654, 1128.67
909.66, 1128.67
909.666, 1128.67
909.672, 1128.67
909.678, 1128.67
909.684, 1128.67
909.69, 1128.67
909.696, 1128.67
909.701, 1128.67
909.707, 1128.67
909.713, 1128.67
909.718, 1128.67
909.724, 1128.67
909.729, 1128.67
909.734, 1128.67
909.739, 1128.67
909.744, 1128.67
909.749, 1128.67
909.753, 1128.67
909.758, 1128.67
909.762, 1128.67
909.766, 1128.67
909.77, 1128.67
909.774, 1128.67
909.774, 1128.67
909.775, 1128.67
909.777, 1128.67
909.779, 1128.67
909.782, 1128.67
909.786, 1128.67
909.792, 1128.67
909.799, 1128.67
909.807, 1128.67
909.817, 1128.67
909.829, 1128.67
909.843, 1128.67
909.858, 1128.67
909.875, 1128.67
909.893, 1128.67
909.913, 1128.67
909.935, 1128.67
909.959, 1128.67
909.983, 1128.67
910.009, 1128.67
910.037, 1128.67
910.065, 1128.68
910.095, 1128.68
910.125, 1128.68
910.156, 1128.68
910.188, 1128.68
910.22, 1128.68
910.253, 1128.68
910.286, 1128.68
910.319, 1128.68
910.352, 1128.68
910.385, 1128.68
910.418, 1128.68
910.45, 1128.68
910.482, 1128.68
910.513, 1128.68
910.544, 1128.68
910.574, 1128.68
910.603, 1128.68
910.632, 1128.68
910.659, 1128.68
910.686, 1128.68
910.712, 1128.68
910.737, 1128.68
910.762, 1128.68
910.785, 1128.68
910.809, 1128.68
910.831, 1128.68
910.854, 1128.68

waypoints
x, y
909.598, 1128.67
909.601, 1128.67
909.605, 1128.67
909.609, 1128.67
909.613, 1128.67
909.618, 1128.67
909.622, 1128.67
909.627, 1128.67
909.632, 1128.67
909.638, 1128.67
909.643, 1128.67
909.649, 1128.67
909.654, 1128.67
909.66, 1128.67
909.666, 1128.67
909.672, 1128.67
909.678, 1128.67
909.684, 1128.67
909.69, 1128.67
909.696, 1128.67
909.701, 1128.67
909.707, 1128.67
909.713, 1128.67
909.718, 1128.67
909.724, 1128.67
909.729, 1128.67
909.734, 1128.67
909.739, 1128.67
909.744, 1128.67
909.749, 1128.67
909.753, 1128.67
909.758, 1128.67
909.762, 1128.67
909.766, 1128.67
909.77, 1128.67
909.774, 1128.67
909.774, 1128.67
909.775, 1128.67
909.777, 1128.67
909.779, 1128.67
909.782, 1128.67
909.786, 1128.67
909.792, 1128.67
909.799, 1128.67
909.807, 1128.67
909.817, 1128.67
909.829, 1128.67
909.843, 1128.67
909.858, 1128.67
909.875, 1128.67
909.893, 1128.67
909.913, 1128.67
909.935, 1128.67
909.959, 1128.67
909.983, 1128.67
910.009, 1128.67
910.037, 1128.67
910.065, 1128.68
910.095, 1128.68
910.125, 1128.68
910.156, 1128.68
910.188, 1128.68
910.22, 1128.68
910.253, 1128.68
910.286, 1128.68
910.319, 1128.68
910.352, 1128.68
910.385, 1128.68
910.418, 1128.68
910.45, 1128.68
910.482, 1128.68
910.513, 1128.68
910.544, 1128.68
910.574, 1128.68
910.603, 1128.68
910.632, 1128.68
910.659, 1128.68
910.686, 1128.68
910.712, 1128.68
910.737, 1128.68
910.762, 1128.68
910.785, 1128.68
910.809, 1128.68
910.831, 1128.68
910.854, 1128.68

waypoints
x, y
909.613, 1128.67
909.618, 1128.67
909.622, 1128.67
909.627, 1128.67
909.632, 1128.67
909.638, 1128.67
909.643, 1128.67
909.649, 1128.67
909.654, 1128.67
909.66, 1128.67
909.666, 1128.67
909.672, 1128.67
909.678, 1128.67
909.684, 1128.67
909.69, 1128.67
909.696, 1128.67
909.701, 1128.67
909.707, 1128.67
909.713, 1128.67
909.718, 1128.67
909.724, 1128.67
909.729, 1128.67
909.734, 1128.67
909.739, 1128.67
909.744, 1128.67
909.749, 1128.67
909.753, 1128.67
909.758, 1128.67
909.762, 1128.67
909.766, 1128.67
909.77, 1128.67
909.774, 1128.67
909.774, 1128.67
909.775, 1128.67
909.777, 1128.67
909.779, 1128.67
909.782, 1128.67
909.786, 1128.67
909.792, 1128.67
909.799, 1128.67
909.807, 1128.67
909.817, 1128.67
909.829, 1128.67
909.843, 1128.67
909.858, 1128.67
909.875, 1128.67
909.893, 1128.67
909.913, 1128.67
909.935, 1128.67
909.959, 1128.67
909.983, 1128.67
910.009, 1128.67
910.037, 1128.67
910.065, 1128.68
910.095, 1128.68
910.125, 1128.68
910.156, 1128.68
910.188, 1128.68
910.22, 1128.68
910.253, 1128.68
910.286, 1128.68
910.319, 1128.68
910.352, 1128.68
910.385, 1128.68
910.418, 1128.68
910.45, 1128.68
910.482, 1128.68
910.513, 1128.68
910.544, 1128.68
910.574, 1128.68
910.603, 1128.68
910.632, 1128.68
910.659, 1128.68
910.686, 1128.68
910.712, 1128.68
910.737, 1128.68
910.762, 1128.68
910.785, 1128.68
910.809, 1128.68
910.831, 1128.68
910.854, 1128.68

waypoints
x, y
909.632, 1128.67
909.638, 1128.67
909.643, 1128.67
909.649, 1128.67
909.654, 1128.67
909.66, 1128.67
909.666, 1128.67
909.672, 1128.67
909.678, 1128.67
909.684, 1128.67
909.69, 1128.67
909.696, 1128.67
909.701, 1128.67
909.707, 1128.67
909.713, 1128.67
909.718, 1128.67
909.724, 1128.67
909.729, 1128.67
909.734, 1128.67
909.739, 1128.67
909.744, 1128.67
909.749, 1128.67
909.753, 1128.67
909.758, 1128.67
909.762, 1128.67
909.766, 1128.67
909.77, 1128.67
909.774, 1128.67
909.774, 1128.67
909.775, 1128.67
909.777, 1128.67
909.779, 1128.67
909.782, 1128.67
909.786, 1128.67
909.792, 1128.67
909.799, 1128.67
909.807, 1128.67
909.817, 1128.67
909.829, 1128.67
909.843, 1128.67
909.858, 1128.67
909.875, 1128.67
909.893, 1128.67
909.913, 1128.67
909.935, 1128.67
909.959, 1128.67
909.983, 1128.67
910.009, 1128.67
910.037, 1128.67
910.065, 1128.68
910.095, 1128.68
910.125, 1128.68
910.156, 1128.68
910.188, 1128.68
910.22, 1128.68
910.253, 1128.68
910.286, 1128.68
